Yaw,Pitch,Roll,AX,AY,AZ,GX,GY,GZ
179.53,-2.97,-47.06,-432,-6075,5642,0,0,-1
179.52,-2.97,-47.06,-435,-6084,5649,-1,0,-1
179.53,-2.97,-47.06,-436,-6083,5643,0,0,-1
179.53,-2.96,-47.06,-431,-6083,5644,0,0,-1
179.54,-2.96,-47.05,-428,-6076,5656,0,0,-1
179.54,-2.96,-47.05,-424,-6073,5655,0,0,-1
179.55,-2.96,-47.05,-425,-6066,5666,0,0,-1
179.55,-2.96,-47.05,-425,-6072,5667,-1,0,-1
179.55,-2.96,-47.05,-425,-6074,5663,-1,0,-1
179.55,-2.96,-47.05,-424,-6078,5658,-1,0,-1
179.55,-2.96,-47.05,-429,-6079,5657,-1,0,0
179.55,-2.96,-47.06,-425,-6083,5654,0,0,0
179.54,-2.97,-47.05,-427,-6072,5655,0,-1,0
179.54,-2.97,-47.05,-427,-6064,5658,-1,0,0
179.54,-2.97,-47.05,-428,-6067,5656,-1,-1,0
179.53,-2.97,-47.06,-436,-6078,5654,-1,-1,0
179.53,-2.98,-47.06,-431,-6090,5656,0,-1,0
179.53,-2.98,-47.05,-426,-6073,5650,0,0,0
179.52,-2.98,-47.05,-421,-6069,5648,-1,-1,0
179.52,-2.97,-47.05,-418,-6078,5650,0,0,0
179.51,-2.98,-47.05,-433,-6082,5671,-1,-1,0
179.52,-2.98,-47.05,-431,-6084,5658,0,0,-1
179.52,-2.98,-47.05,-438,-6080,5646,-1,-1,0
179.51,-2.98,-47.05,-435,-6083,5641,0,-1,0
179.51,-2.98,-47.05,-434,-6088,5641,0,-1,0
179.51,-2.97,-47.05,-426,-6077,5645,0,-1,0
179.51,-2.98,-47.05,-415,-6076,5653,0,-1,0
179.50,-2.98,-47.05,-419,-6075,5650,-1,0,0
179.50,-2.99,-47.05,-428,-6078,5652,0,0,0
179.49,-2.99,-47.05,-432,-6079,5654,-1,-1,0
179.49,-2.99,-47.05,-427,-6074,5652,-1,-1,0
179.48,-2.99,-47.05,-427,-6081,5646,0,0,0
179.48,-2.99,-47.05,-429,-6073,5645,0,-1,0
179.49,-2.98,-47.04,-427,-6072,5654,0,-1,0
179.48,-2.99,-47.04,-429,-6071,5652,0,-1,0
179.48,-2.99,-47.04,-434,-6067,5657,0,-1,0
179.47,-3.00,-47.03,-431,-6067,5665,-1,-1,0
179.48,-2.99,-47.03,-429,-6071,5661,0,-1,0
179.48,-2.99,-47.03,-430,-6069,5663,0,0,0
179.48,-2.99,-47.03,-426,-6069,5667,0,-1,0
179.47,-2.99,-47.02,-435,-6071,5668,0,-1,0
179.47,-2.99,-47.02,-427,-6071,5671,0,-1,0
179.47,-2.99,-47.02,-423,-6072,5670,-1,-1,0
179.47,-2.99,-47.02,-420,-6077,5666,-1,0,0
179.46,-3.00,-47.02,-427,-6074,5662,0,0,0
179.46,-3.00,-47.02,-434,-6073,5651,0,0,0
179.46,-3.00,-47.02,-429,-6068,5653,0,0,0
179.46,-3.00,-47.02,-433,-6075,5664,-1,-1,0
179.46,-3.00,-47.02,-437,-6081,5663,0,-1,0
179.46,-3.00,-47.02,-441,-6081,5655,0,-1,0
179.46,-3.00,-47.01,-432,-6073,5653,0,-1,-1
179.46,-2.99,-47.01,-427,-6077,5661,0,-1,0
179.46,-2.99,-47.01,-425,-6070,5662,-1,-1,0
179.45,-3.00,-47.01,-424,-6070,5659,-1,0,0
179.45,-3.00,-47.01,-428,-6067,5656,0,0,0
179.45,-3.00,-47.01,-430,-6078,5665,-1,-1,0
179.45,-3.00,-47.01,-430,-6077,5666,0,-1,-1
179.45,-3.00,-47.01,-430,-6079,5662,0,-1,0
179.45,-3.00,-47.00,-428,-6077,5657,0,0,0
179.45,-3.00,-47.00,-431,-6074,5670,-1,0,0
179.44,-3.01,-47.01,-433,-6076,5667,-1,0,0
179.44,-3.01,-47.01,-436,-6078,5666,-1,0,0
179.44,-3.01,-47.01,-437,-6083,5651,0,-1,-1
179.44,-3.01,-47.00,-425,-6076,5652,0,-1,0
179.44,-3.00,-47.00,-418,-6066,5658,0,-1,0
179.44,-3.01,-47.00,-429,-6059,5659,-1,0,0
179.43,-3.01,-46.99,-430,-6070,5664,0,0,0
179.43,-3.02,-47.00,-435,-6076,5662,-1,0,0
179.43,-3.02,-47.00,-437,-6073,5650,-1,0,0
179.43,-3.02,-47.00,-438,-6075,5642,0,0,-1
179.43,-3.02,-47.00,-436,-6073,5645,0,0,-1
179.43,-3.02,-46.99,-433,-6074,5663,-1,-1,0
179.43,-3.02,-46.98,-434,-6074,5661,0,-1,0
179.42,-3.02,-46.98,-433,-6068,5660,0,-1,0
179.42,-3.02,-46.98,-424,-6059,5658,0,0,0
179.42,-3.02,-46.98,-434,-6060,5674,-1,0,0
179.42,-3.02,-46.98,-440,-6061,5677,-1,0,0
179.41,-3.03,-46.98,-442,-6066,5671,0,0,0
179.41,-3.03,-46.98,-438,-6067,5661,0,-1,0
179.40,-3.04,-46.98,-440,-6073,5662,-1,-1,0
179.40,-3.04,-46.97,-443,-6075,5664,0,0,0
