file,start_idx,cluster
IMU\IMU0.csv,0,1
IMU\IMU0.csv,250,4
IMU\IMU0.csv,500,4
IMU\IMU0.csv,750,4
IMU\IMU0.csv,1000,4
IMU\IMU0.csv,1250,4
IMU\IMU1.csv,0,4
IMU\IMU1.csv,250,4
IMU\IMU1.csv,500,1
IMU\IMU1.csv,750,1
IMU\IMU1.csv,1000,1
IMU\IMU1.csv,1250,1
IMU\IMU2.csv,0,1
IMU\IMU2.csv,250,1
IMU\IMU2.csv,500,1
IMU\IMU2.csv,750,1
IMU\IMU2.csv,1000,4
IMU\IMU2.csv,1250,4
IMU\IMU3.csv,0,4
IMU\IMU3.csv,250,1
IMU\IMU3.csv,500,1
IMU\IMU3.csv,750,1
IMU\IMU3.csv,1000,4
IMU\IMU3.csv,1250,4
IMU\IMU4.csv,0,4
IMU\IMU4.csv,250,4
IMU\IMU4.csv,500,4
IMU\IMU4.csv,750,4
IMU\IMU4.csv,1000,0
IMU\IMU4.csv,1250,1
IMU\IMU5.csv,0,2
IMU\IMU5.csv,250,1
IMU\IMU5.csv,500,4
IMU\IMU5.csv,750,4
IMU\IMU5.csv,1000,4
IMU\IMU5.csv,1250,4
IMU\IMU6.csv,0,4
IMU\IMU6.csv,250,4
IMU\IMU6.csv,500,4
IMU\IMU6.csv,750,4
IMU\IMU6.csv,1000,4
IMU\IMU6.csv,1250,1
IMU\IMU7.csv,0,1
IMU\IMU7.csv,250,4
IMU\IMU7.csv,500,4
IMU\IMU7.csv,750,4
IMU\IMU7.csv,1000,4
IMU\IMU7.csv,1250,4
IMU\IMU8.csv,0,4
IMU\IMU8.csv,250,4
IMU\IMU8.csv,500,4
IMU\IMU8.csv,750,4
IMU\IMU8.csv,1000,4
IMU\IMU8.csv,1250,4
IMU\IMU9.csv,0,4
IMU\IMU9.csv,250,4
IMU\IMU9.csv,500,4
IMU\IMU9.csv,750,4
IMU\IMU9.csv,1000,4
IMU\IMU9.csv,1250,4
IMU\IMU10.csv,0,4
IMU\IMU10.csv,250,1
IMU\IMU10.csv,500,4
IMU\IMU10.csv,750,4
IMU\IMU10.csv,1000,1
IMU\IMU10.csv,1250,4
IMU\IMU11.csv,0,0
IMU\IMU11.csv,250,0
IMU\IMU11.csv,500,0
IMU\IMU11.csv,750,0
IMU\IMU11.csv,1000,4
IMU\IMU11.csv,1250,4
IMU\IMU12.csv,0,4
IMU\IMU12.csv,250,4
IMU\IMU12.csv,500,4
IMU\IMU12.csv,750,4
IMU\IMU12.csv,1000,4
IMU\IMU12.csv,1250,4
IMU\IMU13.csv,0,4
IMU\IMU13.csv,250,4
IMU\IMU13.csv,500,4
IMU\IMU13.csv,750,4
IMU\IMU13.csv,1000,4
IMU\IMU13.csv,1250,1
IMU\IMU14.csv,0,4
IMU\IMU14.csv,250,4
IMU\IMU14.csv,500,4
IMU\IMU14.csv,750,1
IMU\IMU14.csv,1000,0
IMU\IMU14.csv,1250,0
IMU\IMU15.csv,0,0
IMU\IMU15.csv,250,0
IMU\IMU15.csv,500,0
IMU\IMU15.csv,750,0
IMU\IMU15.csv,1000,4
